7zip	25.01-5.fc44	x86_64
7zip-standalone	25.01-5.fc44	x86_64
CharLS	2.4.3-2.fc44	x86_64
ImageMagick	7.1.2.13-2.fc44	x86_64
ImageMagick-libs	7.1.2.13-2.fc44	x86_64
LibRaw	0.22.1-1.fc44	x86_64
ModemManager	1.24.2-3.fc44	x86_64
ModemManager-glib	1.24.2-3.fc44	x86_64
NetworkManager	1.56.1-1.fc44	x86_64
NetworkManager-adsl	1.56.1-1.fc44	x86_64
NetworkManager-bluetooth	1.56.1-1.fc44	x86_64
NetworkManager-config-connectivity-fedora	1.56.1-1.fc44	noarch
NetworkManager-l2tp	1.52.2-1.fc44	x86_64
NetworkManager-libnm	1.56.1-1.fc44	x86_64
NetworkManager-libreswan	1.2.30-3.fc44	x86_64
NetworkManager-libreswan-gnome	1.2.30-3.fc44	x86_64
NetworkManager-openconnect	1.2.10-11.fc44	x86_64
NetworkManager-openvpn	1.12.5-4.fc44	x86_64
NetworkManager-ppp	1.56.1-1.fc44	x86_64
NetworkManager-pptp	1.2.12-12.fc44	x86_64
NetworkManager-team	1.56.1-1.fc44	x86_64
NetworkManager-vpnc	1.4.0-6.fc44	x86_64
NetworkManager-wifi	1.56.1-1.fc44	x86_64
NetworkManager-wwan	1.56.1-1.fc44	x86_64
OpenCL-ICD-Loader	3.0.6-7.20250722gitad770a1.fc44	x86_64
PackageKit	1.3.4-3.fc44	x86_64
PackageKit-Qt6	1.1.4-4.fc44	x86_64
PackageKit-command-not-found	1.3.4-3.fc44	x86_64
PackageKit-glib	1.3.4-3.fc44	x86_64
PackageKit-gstreamer-plugin	1.3.4-3.fc44	x86_64
R-srpm-macros	1.3.7-2.fc44	noarch
SDL3	3.4.10-1.fc44	i686
SDL3	3.4.10-1.fc44	x86_64
SDL3_image	3.4.4-1.fc44	x86_64
SDL3_ttf	3.2.2-4.fc44	x86_64
SDL_image	1.2.12-42.fc44	x86_64
aajohan-comfortaa-fonts	3.105-0.9.20210729git2a87ac6.fc44	noarch
aalib-libs	1.4.0-0.58.rc5.fc44	x86_64
aardvark-dns	1.17.1-1.fc44	x86_64
abattis-cantarell-fonts	0.301-17.fc44	noarch
abattis-cantarell-vf-fonts	0.301-17.fc44	noarch
abrt	2.17.8-3.fc44	x86_64
abrt-addon-ccpp	2.17.8-3.fc44	x86_64
abrt-addon-kerneloops	2.17.8-3.fc44	x86_64
abrt-addon-pstoreoops	2.17.8-3.fc44	x86_64
abrt-addon-vmcore	2.17.8-3.fc44	x86_64
abrt-addon-xorg	2.17.8-3.fc44	x86_64
abrt-cli	2.17.8-3.fc44	x86_64
abrt-dbus	2.17.8-3.fc44	x86_64
abrt-desktop	2.17.8-3.fc44	x86_64
abrt-gui	2.17.8-3.fc44	x86_64
abrt-gui-libs	2.17.8-3.fc44	x86_64
abrt-libs	2.17.8-3.fc44	x86_64
abrt-plugin-bodhi	2.17.8-3.fc44	x86_64
abrt-tui	2.17.8-3.fc44	noarch
abseil-cpp	20260107.1-1.fc44	i686
abseil-cpp	20260107.1-1.fc44	x86_64
accessibility-inspector	26.04.2-1.fc44	x86_64
accounts-qml-module-qt6	0.7^20231216.05e79eb-8.fc44	x86_64
accountsservice	23.13.9-16.fc44	x86_64
accountsservice-libs	23.13.9-16.fc44	x86_64
acl	2.3.2-6.fc44	x86_64
add-determinism	0.7.3-2.fc44	x86_64
adobe-mappings-cmap	20231115-5.fc44	noarch
adobe-mappings-cmap-deprecated	20231115-5.fc44	noarch
adobe-mappings-pdf	20190401-12.fc44	noarch
adoptium-temurin-java-repository	1-20.fc44	noarch
advancecomp	2.6-16.fc44	x86_64
adwaita-cursor-theme	50.0-1.fc44	noarch
adwaita-icon-theme	50.0-1.fc44	noarch
adwaita-icon-theme-legacy	46.2-7.fc44	noarch
adwaita-mono-fonts	50.0-1.fc44	noarch
adwaita-sans-fonts	50.0-1.fc44	noarch
aha	0.5.1-16.fc44	x86_64
akmod-nvidia	595.71.05-1.fc44	x86_64
akmods	0.6.2-9.fc44	noarch
alsa-lib	1.2.16-2.fc44	i686
alsa-lib	1.2.16-2.fc44	x86_64
alsa-sof-firmware	2025.12.2-1.fc44	noarch
alsa-ucm	1.2.16-2.fc44	noarch
alsa-utils	1.2.16-1.fc44	x86_64
alternatives	1.33-5.fc44	x86_64
amd-gpu-firmware	20260519-1.fc44	noarch
amd-ucode-firmware	20260519-1.fc44	noarch
anaconda-core	44.30-2.fc44	x86_64
anaconda-install-env-deps	44.30-2.fc44	x86_64
anaconda-live	44.30-2.fc44	noarch
anaconda-tui	44.30-2.fc44	x86_64
anaconda-webui	68-1.fc44	noarch
android-tools	35.0.2-17.fc44	x86_64
annobin-docs	13.14-1.fc44	noarch
annobin-plugin-gcc	13.14-1.fc44	x86_64
ansible-srpm-macros	1-20.1.fc44	noarch
anthy-unicode	1.0.0.20260213-1.fc44	x86_64
antiword	0.37-44.fc44	x86_64
appstream	1.1.0-3.fc44	x86_64
appstream-data	44-4.fc44	noarch
appstream-qt	1.1.0-3.fc44	x86_64
apr	1.7.6-5.fc44	x86_64
apr-util	1.6.3-27.fc44	x86_64
apr-util-lmdb	1.6.3-27.fc44	x86_64
apr-util-openssl	1.6.3-27.fc44	x86_64
aribb24	1.0.3^20160216git5e9be27-5.fc44	x86_64
aribb25	0.2.7-8.fc44	x86_64
ark	26.04.2-1.fc44	x86_64
ark-libs	26.04.2-1.fc44	x86_64
armadillo	12.8.1-9.fc44	x86_64
arpack	3.9.1-9.fc44	x86_64
assimp	6.0.5-2.fc44	x86_64
at	3.2.5-21.fc44	x86_64
at-spi2-atk	2.60.4-1.fc44	i686
at-spi2-atk	2.60.4-1.fc44	x86_64
at-spi2-core	2.60.4-1.fc44	i686
at-spi2-core	2.60.4-1.fc44	x86_64
atheros-firmware	20260519-1.fc44	noarch
atk	2.60.4-1.fc44	i686
atk	2.60.4-1.fc44	x86_64
atkmm	2.28.5-1.fc44	x86_64
attr	2.5.2-8.fc44	x86_64
audiocd-kio	26.04.2-1.fc44	x86_64
audiocd-kio-doc	26.04.2-1.fc44	noarch
audit	4.1.4-1.fc44	x86_64
audit-libs	4.1.4-1.fc44	i686
audit-libs	4.1.4-1.fc44	x86_64
audit-rules	4.1.4-1.fc44	x86_64
augeas-libs	1.14.2-0.11.20260408gitada6219.fc44	x86_64
aurorae	6.6.5-1.fc44	x86_64
authselect	1.7.1-1.fc44	x86_64
authselect-libs	1.7.1-1.fc44	x86_64
autoconf	2.72-10.fc44	noarch
automake	1.18.1-4.fc44	noarch
avahi	0.9~rc2-8.fc44	x86_64
avahi-glib	0.9~rc2-8.fc44	i686
avahi-glib	0.9~rc2-8.fc44	x86_64
avahi-gobject	0.9~rc2-8.fc44	x86_64
avahi-libs	0.9~rc2-8.fc44	i686
avahi-libs	0.9~rc2-8.fc44	x86_64
avahi-tools	0.9~rc2-8.fc44	x86_64
b43-fwcutter	020-1.fc44	x86_64
b43-openfwwf	5.2-48.fc44	noarch
baloo-widgets	26.04.2-1.fc44	x86_64
bash	5.3.9-3.fc44	x86_64
bash-color-prompt	0.7.1-3.fc44	noarch
bash-completion	2.17-2.fc44	noarch
bat	0.26.1-1.fc44	x86_64
bc	1.08.2-4.fc44	x86_64
biber	2.21-4.fc44	noarch
bind	9.18.49-1.fc44	x86_64
bind-dnssec-utils	9.18.49-1.fc44	x86_64
bind-libs	9.18.49-1.fc44	x86_64
bind-utils	9.18.49-1.fc44	x86_64
binutils	2.46-3.fc44	x86_64
bison	3.8.2-15.fc44	x86_64
blivet-data	3.13.2-2.fc44	noarch
blosc	1.21.6-10.fc44	x86_64
bluedevil	6.6.5-1.fc44	x86_64
blueman	2.4.6-6.fc44	x86_64
bluez	5.86-4.fc44	x86_64
bluez-cups	5.86-4.fc44	x86_64
bluez-libs	5.86-4.fc44	i686
bluez-libs	5.86-4.fc44	x86_64
bluez-obexd	5.86-4.fc44	x86_64
bluez-tools	0.2.0-0.30.git20170912.7cb788c.fc44	x86_64
bolt	0.9.11-1.fc44	x86_64
boost	1.90.0-7.fc44	x86_64
boost-atomic	1.90.0-7.fc44	x86_64
boost-charconv	1.90.0-7.fc44	x86_64
boost-chrono	1.90.0-7.fc44	x86_64
boost-cobalt	1.90.0-7.fc44	x86_64
boost-container	1.90.0-7.fc44	x86_64
boost-context	1.90.0-7.fc44	x86_64
boost-contract	1.90.0-7.fc44	x86_64
boost-coroutine	1.90.0-7.fc44	x86_64
boost-date-time	1.90.0-7.fc44	x86_64
boost-fiber	1.90.0-7.fc44	x86_64
boost-filesystem	1.90.0-7.fc44	x86_64
boost-graph	1.90.0-7.fc44	x86_64
boost-iostreams	1.90.0-7.fc44	x86_64
boost-json	1.90.0-7.fc44	x86_64
boost-locale	1.90.0-7.fc44	x86_64
boost-log	1.90.0-7.fc44	x86_64
boost-math	1.90.0-7.fc44	x86_64
boost-nowide	1.90.0-7.fc44	x86_64
boost-process	1.90.0-7.fc44	x86_64
boost-program-options	1.90.0-7.fc44	x86_64
boost-python3	1.90.0-7.fc44	x86_64
boost-random	1.90.0-7.fc44	x86_64
boost-regex	1.90.0-7.fc44	x86_64
boost-serialization	1.90.0-7.fc44	x86_64
boost-stacktrace	1.90.0-7.fc44	x86_64
boost-test	1.90.0-7.fc44	x86_64
boost-thread	1.90.0-7.fc44	x86_64
boost-timer	1.90.0-7.fc44	x86_64
boost-type_erasure	1.90.0-7.fc44	x86_64
boost-url	1.90.0-7.fc44	x86_64
boost-wave	1.90.0-7.fc44	x86_64
braille-printer-app	2.0~b0^386eea385f-11.fc44	x86_64
brcmfmac-firmware	20260519-1.fc44	noarch
breeze-cursor-theme	6.6.5-1.fc44	noarch
breeze-gtk-common	6.6.5-1.fc44	noarch
breeze-gtk-gtk2	6.6.5-1.fc44	noarch
breeze-gtk-gtk3	6.6.5-1.fc44	noarch
breeze-gtk-gtk4	6.6.5-1.fc44	noarch
